,count,file,n_nodes_graph,n_edges_graph
CoinJoinMess,10215,btc_sample_h0_h1_edge_data,117457,611941
Instawallet.org,1374,btc_sample_h0_h1_edge_data,117457,611941
BTC-e.com,1005,btc_sample_h0_h1_edge_data,117457,611941
Bitcoin.de,567,btc_sample_h0_h1_edge_data,117457,611941
Bitcoinica.com,402,btc_sample_h0_h1_edge_data,117457,611941
BTCC.com,398,btc_sample_h0_h1_edge_data,117457,611941
VirWoX.com,357,btc_sample_h0_h1_edge_data,117457,611941
Bitstamp.net,275,btc_sample_h0_h1_edge_data,117457,611941
Cavirtex.com,270,btc_sample_h0_h1_edge_data,117457,611941
BitPay.com,247,btc_sample_h0_h1_edge_data,117457,611941
CampBX.com,209,btc_sample_h0_h1_edge_data,117457,611941
BitcoinFog,183,btc_sample_h0_h1_edge_data,117457,611941
Btcst.com-pirateat40,99,btc_sample_h0_h1_edge_data,117457,611941
SealsWithClubs.eu,81,btc_sample_h0_h1_edge_data,117457,611941
Bitmit.net,55,btc_sample_h0_h1_edge_data,117457,611941
BetsOfBitco.in,50,btc_sample_h0_h1_edge_data,117457,611941
Bitcash.cz,45,btc_sample_h0_h1_edge_data,117457,611941
MercadoBitcoin.com.br,29,btc_sample_h0_h1_edge_data,117457,611941
Just-Dice.com,11,btc_sample_h0_h1_edge_data,117457,611941
TheRockTrading.com,8,btc_sample_h0_h1_edge_data,117457,611941
Eligius.st,3,btc_sample_h0_h1_edge_data,117457,611941
MPEx.co,3,btc_sample_h0_h1_edge_data,117457,611941
OrderBook.net,2,btc_sample_h0_h1_edge_data,117457,611941
BitMinter.com,2,btc_sample_h0_h1_edge_data,117457,611941
MyBitcoin.com,1,btc_sample_h0_h1_edge_data,117457,611941
