,total edge splits,total component splits,number_of_components,new_modularity,original_modularity,count_of_known_entites,subgraph_index,num_of_unique_entities_in_comp,total_num_of_addresses_in_comp
0,100,1,2,0.8409153767082816,0.845817149330655,0,0,22,14737
1,160,2,3,0.8420692927130354,0.845817149330655,0,0,22,14737
2,210,3,4,0.8420981055853561,0.845817149330655,0,0,22,14737
3,250,4,5,0.8424924999634144,0.845817149330655,0,0,22,14737
4,310,5,6,0.842081576763808,0.845817149330655,0,0,22,14737
5,380,6,7,0.8419554342992249,0.845817149330655,0,0,22,14737
6,510,7,8,0.8421382127042646,0.845817149330655,0,0,22,14737
7,650,8,9,0.8388963914886046,0.845817149330655,0,0,22,14737
8,720,9,10,0.8413421632504634,0.845817149330655,0,0,22,14737
9,730,10,11,0.8408492105351323,0.845817149330655,0,0,22,14737
10,800,11,12,0.8419358546486696,0.845817149330655,0,0,22,14737
11,830,12,13,0.8416885937282527,0.845817149330655,0,0,22,14737
12,850,13,14,0.8418330392711284,0.845817149330655,0,0,22,14737
13,860,14,15,0.8418323786919887,0.845817149330655,0,0,22,14737
14,880,15,16,0.8419525497754522,0.845817149330655,0,0,22,14737
15,891,16,17,0.8421711921591698,0.845817149330655,0,0,22,14737
16,901,17,18,0.8421927477180259,0.845817149330655,0,0,22,14737
17,941,18,21,0.8398973900944356,0.845817149330655,0,0,22,14737
18,961,19,22,0.8401315950048471,0.845817149330655,0,0,22,14737
19,991,20,23,0.8397456450506002,0.845817149330655,14,0,22,14737
20,1021,21,24,0.8401367588048118,0.845817149330655,14,0,22,14737
21,1031,22,25,0.841645844648324,0.845817149330655,14,0,22,14737
22,1051,23,26,0.8392131999064638,0.845817149330655,14,0,22,14737
